Frequency,Channel A,"BandPass(A,20e6,40e6)"
(MHz),(dBu),(dBu)

3.08036804,-101.72510000,NaN
3.08513641,-101.82370000,NaN
3.08990479,-101.67880000,NaN
3.09467316,-101.67930000,NaN
3.09944153,-101.61860000,NaN
3.10420990,-101.55870000,NaN
3.10897827,-101.67970000,NaN
3.11374664,-101.90250000,NaN
3.11851501,-102.02990000,NaN
3.12328339,-101.96260000,NaN
3.12805176,-101.76330000,NaN
3.13282013,-101.80020000,NaN
3.13758850,-101.72160000,NaN
3.14235687,-101.76730000,NaN
3.14712524,-101.92550000,NaN
3.15189362,-101.96750000,NaN
3.15666199,-101.74200000,NaN
3.16143036,-101.67910000,NaN
3.16619873,-101.03200000,NaN
3.17096710,-100.95080000,NaN
3.17573547,-101.58940000,NaN
3.18050385,-101.64320000,NaN
3.18527222,-102.02590000,NaN
3.19004059,-101.87780000,NaN
3.19480896,-101.63450000,NaN
3.19957733,-101.71490000,NaN
3.20434570,-101.81780000,NaN
3.20911407,-101.68200000,NaN
3.21388245,-101.58140000,NaN
3.21865082,-101.69060000,NaN
3.22341919,-101.84850000,NaN
3.22818756,-102.07840000,NaN
3.23295593,-101.95340000,NaN
3.23772430,-101.33580000,NaN
3.24249268,-99.92417000,NaN
3.24726105,-100.33340000,NaN
3.25202942,-101.76310000,NaN
3.25679779,-101.59890000,NaN
3.26156616,-101.87460000,NaN
3.26633453,-102.02590000,NaN
3.27110291,-101.98920000,NaN
3.27587128,-102.07410000,NaN
3.28063965,-101.97840000,NaN
3.28540802,-101.90060000,NaN
3.29017639,-102.02710000,NaN
3.29494476,-101.87430000,NaN
3.29971313,-101.92870000,NaN
3.30448151,-102.12840000,NaN
3.30924988,-102.07960000,NaN
3.31401825,-101.76030000,NaN
3.31878662,-101.97540000,NaN
3.32355499,-102.28250000,NaN
3.32832336,-101.85330000,NaN
3.33309174,-101.70340000,NaN
3.33786011,-101.76900000,NaN
3.34262848,-101.67700000,NaN
3.34739685,-101.77870000,NaN
3.35216522,-101.85400000,NaN
3.35693359,-102.11380000,NaN
3.36170197,-102.00220000,NaN
3.36647034,-101.92590000,NaN
3.37123871,-101.60550000,NaN
3.37600708,-101.45720000,NaN
3.38077545,-101.62260000,NaN
3.38554382,-101.67260000,NaN
3.39031219,-102.18320000,NaN
3.39508057,-101.93940000,NaN
3.39984894,-101.71740000,NaN
3.40461731,-101.76170000,NaN
3.40938568,-101.83020000,NaN
3.41415405,-101.86640000,NaN
3.41892242,-102.00000000,NaN
3.42369080,-101.93790000,NaN
3.42845917,-101.67820000,NaN
3.43322754,-101.73180000,NaN
3.43799591,-101.71470000,NaN
3.44276428,-101.56170000,NaN
3.44753265,-101.65020000,NaN
3.45230103,-101.56960000,NaN
3.45706940,-101.66740000,NaN
3.46183777,-101.74270000,NaN
3.46660614,-101.87790000,NaN
3.47137451,-101.98380000,NaN
3.47614288,-101.56270000,NaN
3.48091125,-101.36540000,NaN
3.48567963,-101.64020000,NaN
3.49044800,-101.52310000,NaN
3.49521637,-101.45780000,NaN
3.49998474,-101.52660000,NaN
3.50475311,-101.64190000,NaN
3.50952148,-101.75270000,NaN
3.51428986,-101.49050000,NaN
3.51905823,-101.56250000,NaN
3.52382660,-101.83480000,NaN
3.52859497,-101.47520000,NaN
3.53336334,-101.37460000,NaN
3.53813171,-101.43790000,NaN
3.54290009,-101.42760000,NaN
3.54766846,-101.43330000,NaN
3.55243683,-101.41890000,NaN
3.55720520,-101.41080000,NaN
3.56197357,-101.41320000,NaN
3.56674194,-101.57090000,NaN
3.57151031,-101.29530000,NaN
3.57627869,-101.34220000,NaN
3.58104706,-101.57410000,NaN
3.58581543,-101.45770000,NaN
3.59058380,-101.17290000,NaN
3.59535217,-101.28830000,NaN
3.60012054,-101.31510000,NaN
3.60488892,-101.43220000,NaN
3.60965729,-101.41180000,NaN
3.61442566,-101.40620000,NaN
3.61919403,-101.44090000,NaN
3.62396240,-101.29340000,NaN
3.62873077,-101.17090000,NaN
3.63349915,-101.36930000,NaN
3.63826752,-101.33000000,NaN
3.64303589,-101.49600000,NaN
3.64780426,-101.45870000,NaN
3.65257263,-101.37200000,NaN
3.65734100,-101.42680000,NaN
3.66210938,-101.52010000,NaN
3.66687775,-101.48650000,NaN
3.67164612,-101.73100000,NaN
3.67641449,-101.48550000,NaN
3.68118286,-101.49640000,NaN
3.68595123,-101.66990000,NaN
3.69071960,-101.74710000,NaN
3.69548798,-101.59770000,NaN
3.70025635,-101.59110000,NaN
3.70502472,-101.84110000,NaN
3.70979309,-101.83300000,NaN
3.71456146,-101.92680000,NaN
3.71932983,-101.91430000,NaN
3.72409821,-101.60110000,NaN
3.72886658,-101.39270000,NaN
3.73363495,-101.58210000,NaN
3.73840332,-101.97660000,NaN
3.74317169,-101.77800000,NaN
3.74794006,-101.89920000,NaN
3.75270844,-101.70210000,NaN
3.75747681,-101.71340000,NaN
3.76224518,-101.69260000,NaN
3.76701355,-101.50160000,NaN
3.77178192,-101.67950000,NaN
3.77655029,-101.95390000,NaN
3.78131866,-101.84430000,NaN
3.78608704,-101.99380000,NaN
3.79085541,-101.88480000,NaN
3.79562378,-101.64220000,NaN
3.80039215,-100.47610000,NaN
3.80516052,-100.41710000,NaN
3.80992889,-101.58060000,NaN
3.81469727,-101.62680000,NaN
3.81946564,-101.98700000,NaN
3.82423401,-101.97500000,NaN
3.82900238,-101.75990000,NaN
3.83377075,-101.54820000,NaN
3.83853912,-101.47640000,NaN
3.84330750,-101.58570000,NaN
3.84807587,-101.70770000,NaN
3.85284424,-101.66630000,NaN
3.85761261,-101.85430000,NaN
