Frequency,Channel A,"BandPass(A,20e6,40e6)"
(MHz),(dBu),(dBu)

3.71456146,-105.96750000,NaN
3.71932983,-106.31070000,NaN
3.72409821,-105.79470000,NaN
3.72886658,-105.28210000,NaN
3.73363495,-105.40190000,NaN
3.73840332,-106.18920000,NaN
3.74317169,-106.13670000,NaN
3.74794006,-105.90700000,NaN
3.75270844,-106.58490000,NaN
3.75747681,-105.87570000,NaN
3.76224518,-105.64090000,NaN
3.76701355,-106.15380000,NaN
3.77178192,-106.50030000,NaN
3.77655029,-106.17010000,NaN
3.78131866,-106.07320000,NaN
3.78608704,-106.36830000,NaN
3.79085541,-106.37310000,NaN
3.79562378,-105.97280000,NaN
3.80039215,-106.00990000,NaN
3.80516052,-105.72430000,NaN
3.80992889,-105.88870000,NaN
3.81469727,-105.36940000,NaN
3.81946564,-105.64710000,NaN
3.82423401,-106.19530000,NaN
3.82900238,-106.72230000,NaN
3.83377075,-106.90480000,NaN
3.83853912,-106.90290000,NaN
3.84330750,-106.75350000,NaN
3.84807587,-106.11900000,NaN
3.85284424,-106.87560000,NaN
3.85761261,-106.15110000,NaN
